multiplier,demand_pct_change,total_cost,routes_active,packages_delivered,avg_utilization
0.7,-30,1135.0,7,1224.0,64.01428571428572
0.75,-25,1335.0,8,1310.0,60.15
0.8,-20,1335.0,8,1403.0,64.675
0.85,-15,1335.0,8,1489.0,70.8625
0.9,-10,1335.0,8,1577.0,75.7375
0.95,-5,1335.0,8,1663.0,80.525
1.0,0,1505.0,9,1751.0,75.63333333333334
1.05,5,1520.0,9,1839.0,79.04444444444445
1.1,10,1520.0,9,1925.0,82.6222222222222
1.15,15,1520.0,9,2013.0,86.30000000000001
1.2,20,1520.0,9,2099.0,89.66666666666667
1.25,25,1690.0,10,2192.0,84.92
